Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
417 Pearl St,995,1.0,1.0,525.0,42.241966,-83.618698,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
15 N Hamilton St,850,0.0,1.0,226.0,42.241836,-83.617877,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
208 N Prospect Rd,1200,2.0,1.0,,42.243244,-83.601913,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
429 N Adams St,895,0.0,1.0,400.0,42.247265,-83.616425,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
317 Ecorse Rd,650,,1.0,480.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
204 S Hamilton St,895,1.0,1.0,437.0,42.238205,-83.617958,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
409 S Huron St,850,1.0,1.0,374.0,42.23579,-83.612999,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
7274 Rachel Dr,4950,4.0,2.5,1746.0,42.179433,-83.614777,Single Family,,,2,Gault Village,,,Ypsilanti,MI,,
412 N Washington St,1535,3.0,1.0,,42.246366,-83.614332,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
506 N Miami Ave,950,1.0,1.0,600.0,42.247726,-83.584068,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
209 Buffalo St,2850,4.0,2.5,1995.0,42.236149,-83.615206,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
417 Pearl St,1140,2.0,1.0,680.0,42.241966,-83.618698,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
409 S Huron St,1100,2.0,1.0,525.0,42.23579,-83.612999,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
25 N Washington St,2000,,2.0,1440.0,42.241936,-83.614822,Condo,,,0,Midtown,,,Ypsilanti,MI,,
25 N Washington St,2000,,,1440.0,42.241936,-83.614822,Condo,,,0,Midtown,,,Ypsilanti,MI,,
701 Pearl St,1100,2.0,1.0,450.0,42.241867,-83.62191,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
109 Cherry Ct,975,1.0,1.0,,42.250614,-83.607727,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
126 College Pl,1500,3.0,1.0,,42.243347,-83.621613,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
677 Villa Dr,1015,1.0,1.0,645.0,42.25847,-83.62117,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
1017 Washtenaw Ave,1100,3.0,1.0,888.0,42.246204,-83.63018,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
113 E Cross St,845,0.0,1.0,,42.246414,-83.607658,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
1305 S Congress St,1200,2.0,1.0,800.0,42.238815,-83.635986,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
68 Harvey Pl,1045,2.0,1.0,692.0,42.249393,-83.560228,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
429 N Adams St,1300,2.0,1.0,1383.0,42.247245,-83.616506,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
53 Harvey Pl,895,1.0,1.0,603.0,42.2509,-83.56045,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
513 Pearl St,550,1.0,,,42.241814,-83.620293,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
538 Villa Dr,1015,1.0,1.0,645.0,42.259555,-83.62055,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
109 Cherry Ct,975,1.0,1.0,419.0,42.250614,-83.607727,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
530 Villa Dr,1350,2.0,1.0,870.0,42.2595484,-83.6205781,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
804 W Michigan Ave,1050,1.0,1.0,650.0,42.238796,-83.623726,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
113 E Cross St,795,0.0,1.0,240.0,42.246227,-83.607632,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
67 Harvey Pl,895,1.0,1.0,603.0,42.249335,-83.560589,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
133 W Michigan Ave,430,,,368.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
421 Emmet St,1520,3.0,2.0,676.0,42.244517,-83.61881,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
208 N Prospect Rd,1200,2.0,1.0,750.0,42.243244,-83.601913,Apartment,,,5,Miles/Garland,,,Ypsilanti,MI,,
224 S Adams St,1450,2.0,1.0,925.0,42.23761,-83.616287,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
528 Villa Dr,1250,2.0,1.0,870.0,42.2595497,-83.6205532,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
